	Variable Name	English	ASDF
	DialogueLevel6	"Loki><Loki>My followers may have failed, but I can bury you myself."	asdf
	DialogueLevel6	Dag><Dag>Don't back down. Gods die like the rest of us.	asdf
[BS_GFxFrontEnd]			
	LevelNames	Tavern	adsf
	LevelNames	Burning Village	adsf
	LevelNames	Roots of Yggdrasil	adsf
	LevelNames	Yggdrasil	adsf
	LevelNames	Gates of Asgard	adsf
	Quit	Quit	adsf
	MainTitle	Midgard Saga	adsf
	LevelSelect	Level Select	adsf
	Controls	Controls	adsf
	Options	Options	adsf
	Credits	Credits	adsf
	Play	Play	adsf
	Back	Back	adsf
	Music	Music	adsf
	SFX	SFX	adsf
	Resolution	Resolution	adsf
	Fullscreen	Fullscreen	adsf
	Language	Language	adsf
	ApplyButton	Apply	adsf
[BS_GFxHUD_PauseMenu]			
	ResumeLevelButtonName	Resume	adsf
	MainMenuButtonName	Main Menu	adsf
	YesToMainMenuButtonName	Yes	adsf
	NoToMainMenuButtonName	No	adsf
	PauseText	Paused	adsf
	BackToMainMenuText	Back to Main Menu	adsf
	AreYouSureText	Are You Sure?	adsf
	ControlsButtonName	Controls	adsf
	ControlsText	Controls	adsf
	BackButtonName	Back	adsf
	Level1Name	Tavern	adsf
	Level1Objective	Defeat All Enemies	adsf
	Level2Name	Burning Village	adsf
	Level2Objective	Defeat the Summoners	adsf
	Level3Name	Roots of Yggdrasil	adsf
	Level3Objective	Close the Gates	adsf
	Level4Name	Yggdrasil	adsf
	Level4Objective	Cross the Branch	adsf
	Level5Name	Gates of Asgard	adsf
	Level5Objective	Defeat Loki & His Minions	adsf
[BS_GFxHUD_EndOfLevelScreen]			
	VictoryText	Victory!	asdf
	TurnsLabel	Turns:	asdf
	UnitsLostLabel	Units Lost:	asdf
	EnemiesDefeatedLabel	Enemies Defeated:	asdf
	APSpentLabel	AP Spent:	asdf
	MainMenuButtonName	Main Menu	asdf
	NextLevelButtonName	Next Level	asdf
	Level1Name	Tavern	asdf
	Level2Name	Burning Village	asdf
	Level3Name	Roots of Yggdrasil	asdf
	Level4Name	Yggdrasil	asdf
	Level5Name	Gates of Asgard	asdf
[BS_GFxHUD_GameOverScreen]			
	GameOverText	Game over!	asdf
	RetryButtonName	Retry	asdf
	MainMenuButtonName	Main Menu	asdf
[BS_LocalMessage]			asdf
	InvalidCommand	Invalid Command	asdf
	OutOfAP	Out of Action Points	asdf
	NotEnoughAP	Not Enough Action Points	asdf
	StillPerformingAction	Unit is still performing action	asdf
	NotPlayersTurn	Not your turn	asdf
	NotEnoughAPForRangedInCombatLock	Not enough AP. Abilities cost 2 AP for ranged units in combat lock	asdf
[BS_GFxHUD_SkillSelection]			
	BjornName	Bjorn	adfasdf
	DagName	Dag	adfasdf
	FreyaName	Freya	adfasdf
	IlianaName	Iliana	adfasdf
	HPString	HP	adfasdf
	AtkString	Atk	adfasdf
	SkillsString	Abilities	adfasdf
	StartGame	Start Game	adfasdf
